,Unnamed: 0,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
112,2,Susan Kronborg,Radikale Venstre (RV),Red,Medlem af Folketinget,@kronborgsusan,242,0,671
113,3,Martin Lidegaard,Radikale Venstre (RV),Red,Medlem af Folketinget,@martinlidegaard,24.094,0,2138
114,4,Stinus Lindgreen,Radikale Venstre (RV),Red,Medlem af Folketinget,@stinuslindgreen,8.283,0,438
115,5,Samira Nawa,Radikale Venstre (RV),Red,Medlem af Folketinget,@SamiraNawa,6.169,0,1138
116,6,Sofie Carsten Nielsen,Radikale Venstre (RV),Red,Medlem af Folketinget,@sofiecn,None,0,775
117,7,Kathrine Olldag,Radikale Venstre (RV),Red,Medlem af Folketinget,@KathrineOlldag,1.546,0,274
118,8,Rasmus Helveg Petersen,Radikale Venstre (RV),Red,Medlem af Folketinget,@rasmushelveg,5.263,0,356
119,9,Katrine Robsøe,Radikale Venstre (RV),Red,Medlem af Folketinget,@KatrineRobsoe,2.359,0,187
120,10,Lotte Rod,Radikale Venstre (RV),Red,Medlem af Folketinget,@LotteRod,12.475,0,1586
121,11,Zenia Stampe,Radikale Venstre (RV),Red,Medlem af Folketinget,@zeniastampe,20.643,0,854
122,12,Andreas Steenberg,Radikale Venstre (RV),Red,Medlem af Folketinget,@a_steenberg,6.779,0,742
123,13,Eva Flyvholm,Enhedslisten (EL),Red,Medlem af Folketinget,@EvaFlyvholm,3.072,0,249
124,14,Peder Hvelplund,Enhedslisten (EL),Red,Medlem af Folketinget,@pederhvelplund,3.003,0,483
125,15,Christian Juhl,Enhedslisten (EL),Red,Medlem af Folketinget,@ChristianJuhl2,3.320,0,1987
126,16,Rune Lund,Enhedslisten (EL),Red,Medlem af Folketinget,@RuneLundEL,3.498,0,1107
127,17,Rosa Lund,Enhedslisten (EL),Red,Medlem af Folketinget,@RosaLundEl,13.099,0,731
128,18,Søren Egge Rasmussen,Enhedslisten (EL),Red,Medlem af Folketinget,@SorenEggeRasmus,1.853,0,1183
129,19,Søren Egge Rasmussen,Enhedslisten (EL),Red,Medlem af Folketinget,@SorenRasmussenO,256,0,184
130,20,Pernille Skipper,Enhedslisten (EL),Red,Medlem af Folketinget,@PSkipperEL,82.871,0,696
131,21,Jakob Sølvhøj,Enhedslisten (EL),Red,Medlem af Folketinget,@JakobSoelvhoej,2.810,0,1527
132,22,Søren Søndergaard,Enhedslisten (EL),Red,Medlem af Folketinget,@SrenSndergaard3,2.755,0,487
133,23,Victoria Velasquez,Enhedslisten (EL),Red,Medlem af Folketinget,@VictoriaV_EL,None,0,229
134,24,Mai Villadsen,Enhedslisten (EL),Red,Medlem af Folketinget,@MaiVilladsen,8.233,0,309
135,25,Mette Abildgaard,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@metteabildgaard,15.835,1,621
136,26,Katarina Ammitzbøll,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@Ammitzboell_K,None,1,1009
137,27,Mads  Andersen,Det Konservative Folkeparti (KF),Blue,Stedfortræder,@MadsAndersenC,460,1,119
138,28,Britt Bager,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@brittbager,3.380,1,242
139,29,Birgitte Bergman,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@BirgitteBergman,1.564,1,351
140,0,Niels Flemming Hansen,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@NielsFlemming01,648,1,29
141,1,Rasmus Jarlov,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@RasmusJarlov,21.248,1,470
142,2,Mona Juul,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@JuulMona,4.170,1,387
143,3,Brigitte Klintskov Jerkel,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@JerkelK,1.912,1,642
144,4,Marcus Knuth,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@MarcusKnuth1,1.502,1,46
145,5,Per Larsen,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@PerLarsenC,1.410,1,184
